6.25%	1.9207327266	2.3088031497	4.1616609184	3.1405426858	2.8485546304	1.7289232916	5.9971771621	7.1328454036	7.3170089363	10.5390537312	8.5495319479	6.0140893471
12.5%	1.9374796279	2.3287873727	4.1338919737	3.1178721016	3.0413934811	1.7441310004	6.0578577664	7.2032640362	7.2785476864	10.5017564245	9.3977269488	6.0348988163
18.75%	1.4907562955	1.7297297297	2.9666295094	2.2111127469	2.0679980693	1.3603781143	4.3967559673	5.0592363596	5.2006047555	7.1636949663	5.9821418782	4.3527682321
25%	1.2676558099	1.4283318291	2.290774863	1.6803970393	1.6199787485	1.1933453082	3.5467961979	3.9650360999	3.9815422016	5.168241565	4.5560577056	3.5671783123
31.25%	1.0116413426	1.1279971004	1.694348251	1.2713023477	1.2727766381	0.9757400324	2.6238263583	2.9008003737	2.896336202	3.5857814308	3.2938630249	2.6627605956
37.5%	0.8817238339	0.9778979611	1.4402228038	1.0948558578	1.1282832549	0.8494757745	1.9607866467	2.1069777384	2.4208603135	2.945299922	2.9115273036	1.6080374189
43.75%	0.7874940451	0.8660118967	1.2542034891	0.9523971076	0.9588595927	0.7648631069	1.6255857984	1.7137140188	2.0924765714	2.4590576573	2.3910016468	1.2264375716
50%	0.7903659872	0.8676748797	1.1969882809	0.9213058683	0.9237007763	0.7887547814	1.5580191352	1.6456763197	1.9380313182	2.2345139398	2.1434723785	1.2717831233
56.25%	0.7734320805	0.8365628842	1.1159423328	0.8901954258	0.8822955633	0.7681992832	1.398088561	1.465315162	1.7023792552	1.9007062109	1.8246838538	1.1823444063
62.5%	0.7810481074	0.8410415675	1.0810645849	0.8850660061	0.8834972447	0.7823171887	1.3645104726	1.4334407359	1.6012140129	1.7725560845	1.7304901554	1.2171363116
68.75%	0.7852437129	0.8299294298	1.0368054997	0.8834422588	0.878948621	0.7745744168	1.2666763835	1.3182653029	1.4495674422	1.5584812587	1.5224838227	1.1636807942
75%	0.801313634	0.8321311056	1.0035107214	0.8902146291	0.8838374697	0.7820716599	1.2001210638	1.2421328256	1.3150956279	1.3856772643	1.3559914832	1.1553417335
81.25%	0.8127543899	0.8366581149	0.9922680262	0.8981530675	0.8931308073	0.7882120335	1.1438859086	1.1754765825	1.2494353865	1.3074146602	1.3188323806	1.0860862925
87.5%	0.8729021973	0.8883470375	1.0027640816	0.9316191171	0.9183443278	0.8545995727	1.0949577095	1.1135643941	1.1693015299	1.1915697955	1.1978514995	1.0572241313
93.75%	0.9321463197	0.9376395591	0.9954945353	0.9703287395	0.956561817	0.917909387	1.0372471827	1.0436069065	1.0762997366	1.0854972684	1.08900116	1.0119243986
100%	1	1	1	1	1	1	1	1	1	1	1	1
