6.25%	2.4772256913	2.4766294949	3.2312837805	3.4082568125	2.8340236443	0.8172611161	0.827674571	3.3103688196	8.4429936919	8.4452274674	12.1781287135	11.9955222691	9.7226228471	2.4569925722	2.4829412415	11.273536833
12.5%	2.4493938493	2.448812359	3.2063306427	3.3928013335	2.7940770405	0.7840059703	0.7953472199	3.2907537289	8.3416135965	8.3439064643	12.0728891855	11.9390941147	9.5791422802	2.3459911824	2.3747098252	11.2031824158
18.75%	1.7849634091	1.7845857439	2.2995250925	2.4490125459	1.9800769857	0.6537602081	0.6642441311	2.3919849913	5.7339682437	5.7353955001	8.1285384474	8.1689526842	6.4132184496	1.84398295	1.8658111327	7.7236598819
25%	1.3476870945	1.347366142	1.6923102146	1.7874853035	1.4399703761	0.6237902197	0.6310712323	1.7440191833	4.0708988355	4.0714794723	5.585469531	5.6226643656	4.3850434071	1.6838397138	1.6962619797	5.3216257498
31.25%	0.9990740982	0.9988229104	1.21000858	1.2587025434	1.027164422	0.5700660982	0.5740696546	1.2392621744	2.7560873264	2.7561169799	3.6085007177	3.6276307634	2.8564139783	1.4182260392	1.4222164159	3.478277782
37.5%	0.8691766459	0.8689758087	1.0363421739	1.0692706085	0.8747501623	0.548361852	0.5536037286	1.0351347742	2.2680672405	2.2680840001	2.9143626212	2.9315120636	2.3078163722	1.277086201	1.2806228582	2.7633752486
43.75%	0.7672096524	0.767045875	0.8946076958	0.9251633355	0.7500617165	0.5339144194	0.5416580726	0.8917271841	1.9249328267	1.9249017546	2.3977106799	2.4284810436	1.8904324577	1.2350612777	1.2350541157	2.2828828455
50%	0.7556440976	0.7554777833	0.8808140647	0.9047891894	0.7426017866	0.5274732901	0.5337598148	0.8710529095	1.7703380341	1.7702229991	2.2038825354	2.2176084647	1.7531706228	1.1249742321	1.1276752187	2.0938542966
56.25%	0.7434731454	0.7433396459	0.8579868075	0.8695846294	0.7203097713	0.5544421158	0.5591208464	0.8253325092	1.5420879246	1.5419663935	1.8645828828	1.864958219	1.4835056279	1.1080937751	1.1099632529	1.7347303945
62.5%	0.7527992779	0.752683737	0.8585770263	0.871645856	0.7217772536	0.5720967675	0.577986387	0.8576811018	1.4644219155	1.4643473094	1.7398915477	1.7517546996	1.3892119735	1.0782213179	1.079954242	1.7028310327
68.75%	0.7610419957	0.7609411784	0.8511992917	0.8756492492	0.6989905917	0.6185235048	0.6255875909	0.855222615	1.295451226	1.295348983	1.5007548001	1.537911541	1.1732451855	1.0234969843	1.0254868069	1.4819549867
75%	0.7928609682	0.7927746702	0.8757425553	0.8834700043	0.7416591235	0.6718899638	0.6780558234	0.8506783746	1.1938578453	1.1937540766	1.3560658952	1.3598567949	1.1032107886	0.9938605941	0.9945834045	1.2952344153
81.25%	0.8154702307	0.8154052121	0.8846832766	0.888790499	0.7571998062	0.7312939805	0.7354601972	0.8610683158	1.1574764633	1.1573852914	1.2827174453	1.282030179	1.0562539352	1.0285192278	1.0299101924	1.2323977812
87.5%	0.8691013137	0.8690703595	0.9258401054	0.9332594169	0.8300756142	0.7836184135	0.7897739483	0.9213610357	1.0915643322	1.0914999455	1.1809790365	1.1836666984	1.0376334081	0.9755487728	0.9760758658	1.1622560092
93.75%	0.929809519	0.9297802309	0.9538536367	0.9635081035	0.9016704611	0.8999847326	0.9077273125	0.9517325887	1.0369911	1.0369583737	1.0686445931	1.0763220366	1.0021912888	1.0049058724	1.0061753208	1.0617215438
100%	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
H8	0.8813517071	0.8812756418	0.9879333053	0.9863155388	0.9760539814	0.5883250395	0.5912160229	1.0034462301	1.0472357522	1.047264565	0.9904831339	0.9845889927	0.9754507418	1.2066384716	1.2078388219	0.9886701641
H10	0.8859113627	0.8858565622	0.9797358225	0.9880121441	0.9681451207	0.6229328972	0.627738716	0.9839522777	1.0080862971	1.008091753	0.9839617843	0.9761337712	0.9647052073	1.08833729	1.0895446643	0.985356012
H11	0.9064031042	0.9063357295	0.9915347327	0.9853332936	0.9834965393	0.6798738465	0.6832457369	0.9897622583	1.0046992329	1.0046679619	0.9875277773	0.9799440862	0.9774962548	1.0657779241	1.0678347352	0.9756391672
